seller,mean_pricing_gap,pricing_gap_variance,extreme_pricing_count,transaction_count,log_pricing_gap_variance,log_extreme_pricing_count,cluster
bellco fcu,-118.20175438596492,3412414.6580499923,3,114,15.042931002580172,1.3862943611198906,1
bellevue nissan,491.9117647058824,1637981.8404634576,0,34,14.308976067432743,0.0,2
benchmark auto sales nj llc,-360.0,825444.4444444444,0,10,13.623678452265558,0.0,0
bens automotive center inc,538.7096774193549,350368.2795698925,0,31,12.766742961740567,0.0,0
bergen auto enterprises llc,217.74193548387098,778758.0645161291,0,31,13.565456988844153,0.0,0
bergeys auto sales and service,-1014.2857142857143,580837.9120879121,0,14,13.27222873764504,0.0,0
bergeys buick gmc,-527.1276595744681,2269886.6790009253,0,47,14.635240907617046,0.0,0
bergeys chevrolet inc,-417.22222222222223,1273801.7676767672,0,45,14.05751728968888,0.0,0
bergeys chrysler jeep dodge,-292.42424242424244,1634768.6480186481,1,66,14.307012464325847,0.6931471805599453,2
bergeys ford inc,-935.7142857142857,1263535.7142857143,0,21,14.049425262994644,0.0,0
bergstrom cadillac inc,-18.75,4178041.666666666,1,16,15.245353433269258,0.6931471805599453,2
bert smith euro collection,1126.7857142857142,3655429.258241758,0,14,15.111724361951033,0.0,2
bert wolfe ford inc,-825.8333333333334,1057132.9022988507,0,30,13.871071938284823,0.0,0
best auto wholesale,429.5,1486828.8265306123,0,50,14.212156778093586,0.0,2
best buy repos inc,270.40816326530614,2101423.788265306,0,49,14.55812614323905,0.0,2
best chevrolet,754.1666666666666,2031571.9696969697,0,12,14.52432091288715,0.0,2
best of clinton inc,385.0,626362.0689655172,0,30,13.347685464330493,0.0,0
betterway leasing llc,-680.0,645666.6666666665,0,10,13.378040202506607,0.0,0
bev smith kia,501.85185185185185,474131.05413105426,0,27,13.069241157089968,0.0,0
bev smith toyota,208.03571428571428,3974400.6283068783,1,28,15.19538476097995,0.6931471805599453,2
beverly hills llc,-1200.0,3985238.095238096,1,22,15.19810786721164,0.6931471805599453,1
beverly hills porsche,-738.3333333333334,9659428.16091954,2,30,16.083445111370125,1.0986122886681098,1
bhfc financial services inc,-648.3333333333334,783345.2380952381,0,15,13.571330071480668,0.0,0
bianchi honda,-2045.4545454545455,12062227.272727272,1,11,16.305589497762366,0.6931471805599453,1
bidlane llc,-413.6363636363636,7342126.623376624,1,22,15.809139225532435,0.6931471805599453,1
big tree auto brokers,45.43010752688172,2182254.7043010755,1,93,14.595869626548161,0.6931471805599453,2
bill hancock motors,750.0,2779479.1666666665,1,13,14.83777447777426,0.6931471805599453,2
bill luke chrysler jeep and dodge inc,-115.0,853551.282051282,0,40,13.657162075405328,0.0,0
bill luke fiat,-323.3333333333333,546113.0952380951,0,15,13.210583198534302,0.0,0
bill pearce courtesy honda,696.1538461538462,950134.6153846154,0,26,13.764360006424916,0.0,0
bill pearce motors,217.85714285714286,1569321.4285714286,0,21,14.266154510011235,0.0,2
bill wright toyota,-181.25,2023764.2045454546,0,12,14.520470297000957,0.0,2
